id,asset_id,side,price,size,placed_ts,baseline_filled,baseline_ttf,queue_filled,queue_ttf,diff,queueAhead0,filled_size,reason
ord-0-A,51338236787729560681434534660841415073585974762690814047670810862722808070955,BUY,0.12,10,1769109816309,0,0,0,0,0,0,0,OPEN
ord-0-B,51338236787729560681434534660841415073585974762690814047670810862722808070955,BUY,0.11,10,1769109816309,0,0,0,0,0,0,0,OPEN
ord-2-A,34551606549875928972193520396544368029176529083448203019529657908155427866742,BUY,0.05,10,1769109819459,0,0,0,0,0,4553.98,0,OPEN
ord-2-B,34551606549875928972193520396544368029176529083448203019529657908155427866742,BUY,0.04,10,1769109819459,0,0,0,0,0,16201.08,0,OPEN
ord-4-A,114421380098084026753773605667430150755820287180340356465450569515479471185603,BUY,0.065,10,1769109821523,0,0,0,0,0,222,0,OPEN
ord-4-B,114421380098084026753773605667430150755820287180340356465450569515479471185603,BUY,0.061,10,1769109821523,0,0,0,0,0,222,0,OPEN
ord-6-A,20939351535690701474621316837957321939118947084394902825750156021315806001424,BUY,0.01,10,1769109822548,0,0,0,0,0,3516.07,0,OPEN
ord-6-B,20939351535690701474621316837957321939118947084394902825750156021315806001424,BUY,0.009,10,1769109822548,0,0,0,0,0,22255.57,0,OPEN
ord-8-A,109742736962312251829429505249844464481009469599654156786681123946719841287723,BUY,0.003,10,1769109826563,0,0,0,0,0,16442.74,0,OPEN
ord-8-B,109742736962312251829429505249844464481009469599654156786681123946719841287723,BUY,0.002,10,1769109826563,0,0,0,0,0,108221.64,0,OPEN
ord-10-A,51338236787729560681434534660841415073585974762690814047670810862722808070955,BUY,0.12,10,1769109829579,0,0,0,0,0,1010,0,OPEN
ord-10-B,51338236787729560681434534660841415073585974762690814047670810862722808070955,BUY,0.11,10,1769109829579,0,0,0,0,0,1708.54,0,OPEN
ord-12-A,12517852287819593117096773184674818051503519306271068998598322320921621987078,BUY,0.003,10,1769109830612,0,0,0,0,0,16442.74,0,OPEN
ord-12-B,12517852287819593117096773184674818051503519306271068998598322320921621987078,BUY,0.002,10,1769109830612,0,0,0,0,0,108221.64,0,OPEN
ord-14-A,5031084282167950494806674428243037744881029417420880897305642929037077494331,BUY,0.01,10,1769109831661,0,0,0,0,0,3516.07,0,OPEN
ord-14-B,5031084282167950494806674428243037744881029417420880897305642929037077494331,BUY,0.009,10,1769109831661,0,0,0,0,0,22255.57,0,OPEN
ord-16-A,53831457969823202853110826094779853295270597675255319556599777150695983919098,BUY,0.001,10,1769109832665,0,0,0,0,0,720416.43,0,OPEN
ord-16-B,53831457969823202853110826094779853295270597675255319556599777150695983919098,BUY,0.001,10,1769109832665,0,0,0,0,0,720416.43,0,OPEN
ord-18-A,17066127610879876900068524118662950536540111723756302158713495031843880669357,BUY,0.008,10,1769109835231,0,0,0,0,0,3655.01,0,OPEN
ord-18-B,17066127610879876900068524118662950536540111723756302158713495031843880669357,BUY,0.007,10,1769109835231,0,0,0,0,0,6775.94,0,OPEN
ord-20-A,34551606549875928972193520396544368029176529083448203019529657908155427866742,BUY,0.05,10,1769109840327,0,0,0,0,0,4553.98,0,OPEN
ord-20-B,34551606549875928972193520396544368029176529083448203019529657908155427866742,BUY,0.04,10,1769109840327,0,0,0,0,0,16201.08,0,OPEN
ord-22-A,31167532153450638526564509379216016814499874840833154348394853115050097836415,BUY,0.065,10,1769109842419,0,0,0,0,0,222,0,OPEN
ord-22-B,31167532153450638526564509379216016814499874840833154348394853115050097836415,BUY,0.061,10,1769109842419,0,0,0,0,0,222,0,OPEN
ord-24-A,5031084282167950494806674428243037744881029417420880897305642929037077494331,BUY,0.01,10,1769109844424,0,0,0,0,0,3516.07,0,OPEN
ord-24-B,5031084282167950494806674428243037744881029417420880897305642929037077494331,BUY,0.009,10,1769109844424,0,0,0,0,0,22255.57,0,OPEN
ord-26-A,5031084282167950494806674428243037744881029417420880897305642929037077494331,BUY,0.01,10,1769109845479,0,0,0,0,0,3516.07,0,OPEN
ord-26-B,5031084282167950494806674428243037744881029417420880897305642929037077494331,BUY,0.009,10,1769109845479,0,0,0,0,0,22255.57,0,OPEN
ord-28-A,27491041634908369209134203135375325220141360663598691072412091501664299197925,BUY,0.001,10,1769109851630,0,0,0,0,0,720416.43,0,OPEN
ord-28-B,27491041634908369209134203135375325220141360663598691072412091501664299197925,BUY,0.001,10,1769109851630,0,0,0,0,0,720416.43,0,OPEN
