id,asset_id,side,price,size,placed_ts,baseline_filled,baseline_ttf,queue_filled,queue_ttf,diff,queueAhead0,filled_size,reason
ord-0-A,51338236787729560681434534660841415073585974762690814047670810862722808070955,BUY,0.12,10,1769109816309,0,0,0,0,0,0,0,OPEN
ord-0-B,51338236787729560681434534660841415073585974762690814047670810862722808070955,BUY,0.11,10,1769109816309,0,0,0,0,0,0,0,OPEN
ord-2-A,27491041634908369209134203135375325220141360663598691072412091501664299197925,BUY,0.001,10,1769109818305,0,0,0,0,0,720416.43,0,OPEN
ord-2-B,27491041634908369209134203135375325220141360663598691072412091501664299197925,BUY,0.001,10,1769109818305,0,0,0,0,0,720416.43,0,OPEN
ord-4-A,20939351535690701474621316837957321939118947084394902825750156021315806001424,BUY,0.01,10,1769109819459,0,0,0,0,0,3516.07,0,OPEN
ord-4-B,20939351535690701474621316837957321939118947084394902825750156021315806001424,BUY,0.01,10,1769109819459,0,0,0,0,0,3516.07,0,OPEN
ord-6-A,27491041634908369209134203135375325220141360663598691072412091501664299197925,BUY,0.001,10,1769109822548,0,0,0,0,0,720416.43,0,OPEN
ord-6-B,27491041634908369209134203135375325220141360663598691072412091501664299197925,BUY,0.001,10,1769109822548,0,0,0,0,0,720416.43,0,OPEN
ord-8-A,22802130763821766047382314926654345322953005062130920361011056163048911488589,BUY,0.05,10,1769109823558,0,0,0,0,0,4553.98,0,OPEN
ord-8-B,22802130763821766047382314926654345322953005062130920361011056163048911488589,BUY,0.04,10,1769109823558,0,0,0,0,0,16201.08,0,OPEN
ord-10-A,114421380098084026753773605667430150755820287180340356465450569515479471185603,BUY,0.065,10,1769109824560,0,0,0,0,0,222,0,OPEN
ord-10-B,114421380098084026753773605667430150755820287180340356465450569515479471185603,BUY,0.055,10,1769109824560,0,0,0,0,0,0,0,OPEN
ord-12-A,27491041634908369209134203135375325220141360663598691072412091501664299197925,BUY,0.001,10,1769109825560,0,0,0,0,0,720416.43,0,OPEN
ord-12-B,27491041634908369209134203135375325220141360663598691072412091501664299197925,BUY,0.001,10,1769109825560,0,0,0,0,0,720416.43,0,OPEN
ord-14-A,22802130763821766047382314926654345322953005062130920361011056163048911488589,BUY,0.05,10,1769109836280,0,0,0,0,0,4553.98,0,OPEN
ord-14-B,22802130763821766047382314926654345322953005062130920361011056163048911488589,BUY,0.04,10,1769109836280,0,0,0,0,0,16201.08,0,OPEN
ord-16-A,22802130763821766047382314926654345322953005062130920361011056163048911488589,BUY,0.05,10,1769109837307,0,0,0,0,0,4553.98,0,OPEN
ord-16-B,22802130763821766047382314926654345322953005062130920361011056163048911488589,BUY,0.04,10,1769109837307,0,0,0,0,0,16201.08,0,OPEN
ord-18-A,107497259924014101120833054359244209179064033764980103636954562467069199808803,BUY,0.01,10,1769109838307,0,0,0,0,0,55922.33,0,OPEN
ord-18-B,107497259924014101120833054359244209179064033764980103636954562467069199808803,BUY,0.01,10,1769109838307,0,0,0,0,0,55922.33,0,OPEN
ord-20-A,20939351535690701474621316837957321939118947084394902825750156021315806001424,BUY,0.01,10,1769109845479,0,0,0,0,0,3516.07,0,OPEN
ord-20-B,20939351535690701474621316837957321939118947084394902825750156021315806001424,BUY,0.01,10,1769109845479,0,0,0,0,0,3516.07,0,OPEN
ord-22-A,17066127610879876900068524118662950536540111723756302158713495031843880669357,BUY,0.008,10,1769109846484,0,0,0,0,0,3655.01,0,OPEN
ord-22-B,17066127610879876900068524118662950536540111723756302158713495031843880669357,BUY,0.008,10,1769109846484,0,0,0,0,0,3655.01,0,OPEN
ord-24-A,34551606549875928972193520396544368029176529083448203019529657908155427866742,BUY,0.05,10,1769109847509,0,0,0,0,0,4553.98,0,OPEN
ord-24-B,34551606549875928972193520396544368029176529083448203019529657908155427866742,BUY,0.04,10,1769109847509,0,0,0,0,0,16201.08,0,OPEN
ord-26-A,83835245338776946964312557572556765129893211997427807179516406386114613522003,BUY,0.001,10,1769109848514,0,0,0,0,0,527086.21,0,OPEN
ord-26-B,83835245338776946964312557572556765129893211997427807179516406386114613522003,BUY,0.001,10,1769109848514,0,0,0,0,0,527086.21,0,OPEN
ord-28-A,53831457969823202853110826094779853295270597675255319556599777150695983919098,BUY,0.001,10,1769109853632,0,0,0,0,0,720416.43,0,OPEN
ord-28-B,53831457969823202853110826094779853295270597675255319556599777150695983919098,BUY,0.001,10,1769109853632,0,0,0,0,0,720416.43,0,OPEN
